"type","id","author","editor","advisor","note","title","pages","article_no","num_pages","keywords","doi","journal","issue_date","volume","issue_no","description","month","year","issn","booktitle","acronym","edition","isbn","conf_loc","publisher","publisher_loc"
"article","1900513","Delia  Grenville","","","","Lifecycle Framework for Cross-functional Participatory Design: Case Study","289--291","","3","business model, consumer experience, cross functional, innovation, lifecycle framework, participatory methods, product design, software architecture participatory","10.1145/1900441.1900513","","","","","","","2010","","Proceedings of the 11th Biennial Participatory Design Conference","PDC '10","","978-1-4503-0131-2","Sydney, Australia","ACM","New York, NY, USA"
"article","2642839","Taimur  Khan and Shah Rukh Humayoun and Karsten  Amrhein and Henning  Barthel and Achim  Ebert and Peter  Liggesmeyer","","","","eCITY+: A Tool to Analyze Software Architectural Relations Through Interactive Visual Support","36:1--36:4","36","4","Software architectural visualization, reverse engineering, software dependencies, software evolution","10.1145/2642803.2642839","","","","","","","2014","","Proceedings of the 2014 European Conference on Software Architecture Workshops","ECSAW '14","","978-1-4503-2778-7","Vienna, Austria","ACM","New York, NY, USA"
"article","2825069","Susanne  Braun and Steffen  Hess and Torsten  Lenhart and Dominik  Magin and Matthias  Naab","","","","Mobile Business Applications: Designing User Interface and Architecture","132--133","","2","conception, mobile, software architecture, user experience, user-centered design","","","","","","","","2015","","Proceedings of the Second ACM International Conference on Mobile Software Engineering and Systems","MOBILESoft '15","","978-1-4799-1934-5","Florence, Italy","IEEE Press","Piscataway, NJ, USA"
"article","2713170","Karthik  Venkatraman and Yuan  Tian and Suraj  Raghuraman and Balakrishnan  Prabhakaran and Nhut  Nguyen","","","","MMT+AVR: Enabling Collaboration in Augmented Virtuality/Reality Using ISO's MPEG Media Transport","112--119","","8","augmented virtuality, collaboration, media transport protocols, software architecture","10.1145/2713168.2713170","","","","","","","2015","","Proceedings of the 6th ACM Multimedia Systems Conference","MMSys '15","","978-1-4503-3351-1","Portland, Oregon","ACM","New York, NY, USA"
"article","1477924","Pierre  Boudoin and Samir  Otmane and Malik  Mallem and Hichem  Maaref","","","","A-3DI Core: A Framework for Adding Adaptative Behaviour into VR Applications","51:1--51:2","51","2","3D interaction, data fusion, data processing, software architecture, virtual reality","10.1145/1477862.1477924","","","","","","","2008","","Proceedings of The 7th ACM SIGGRAPH International Conference on Virtual-Reality Continuum and Its Applications in Industry","VRCAI '08","","978-1-60558-335-8","Singapore","ACM","New York, NY, USA"
"article","1148568","Renaud  Blanch and Michel  Beaudouin-Lafon and St&#233;phane  Conversy and Yannick  Jestin and Thomas  Baudel and Yun Peng Zhao","","","","INDIGO: Une Architecture Pour La Conception D'Applications Graphiques Interactives Distribu{\'e}Es","139--146","","8","advanced interaction, distributed interactive system, software architecture, toolkits","10.1145/1148550.1148568","","","","","","","2005","","Proceedings of the 17th Conference on L'Interaction Homme-Machine","IHM '05","","1-59593-192-9","Toulouse, France","ACM","New York, NY, USA"
"article","2670462","Camille  Fayollas and Philippe  Palanque and Jean-Charles  Fabre and David  Navarre and Eric  Barboni and Martin  Cronel and Yannick  Deleris","","","","A Fault-tolerant Architecture for Resilient Interactive Systems","80--90","","11","critical interactive systems, fault-tolerance, resilience, software architecture","10.1145/2670444.2670462","","","","","","","2014","","Proceedings of the 26th Conference on L'Interaction Homme-Machine","IHM '14","","978-1-4503-2935-4","Villeneuve d'Ascq, France","ACM","New York, NY, USA"
"article","563995","John  Grundy and Xing  Wang and John  Hosking","","","","Building Multi-device, Component-based, Thin-client Groupware: Issues and Experiences","71--80","","10","groupware, mobile user interfaces, software architecture, thin-client user interfaces","10.1145/563997.563995","Aust. Comput. Sci. Commun.","January-February 2002","24","4","","January","2002","","","","","","","IEEE Computer Society Press","Los Alamitos, CA, USA"
"article","563995","John  Grundy and Xing  Wang and John  Hosking","","","","Building Multi-device, Component-based, Thin-client Groupware: Issues and Experiences","71--80","","10","groupware, mobile user interfaces, software architecture, thin-client user interfaces","","","","","","","","2002","","Proceedings of the Third Australasian Conference on User Interfaces - Volume 7","AUIC '02","","0-909925-85-2","Melbourne, Victoria, Australia","Australian Computer Society, Inc.","Darlinghurst, Australia, Australia"
"article","1062538","Elspeth  Golden and Bonnie E. John and Len  Bass","","","","The Value of a Usability-supporting Architectural Pattern in Software Architecture Design: A Controlled Experiment","460--469","","10","controlled experiment, design pattern, modification, software architecture, usability","10.1145/1062455.1062538","","","","","","","2005","","Proceedings of the 27th International Conference on Software Engineering","ICSE '05","","1-58113-963-2","St. Louis, MO, USA","ACM","New York, NY, USA"
